ticker,byma,nombre,mercado,ratio,tipo,rankea
TLN,TLN,Talen Energy,NASDAQ,63:1,accion,1
MS,MS,Morgan Stanley,NYSE,41:1,accion,1
KLAC,KLAC,KLA Corporation,NASDAQ,34:1,accion,1
SKHY,SKHY,SK Hynix,NASDAQ,25:1,accion,1
DELL,DELL,Dell Technologies,NYSE,74:1,accion,1
WDC,WDC,Western Digital,NASDAQ,92:1,accion,1
IBKR,IBKR,Interactive Brokers,NASDAQ,17:1,accion,1
WELL,WELL,Welltower,NYSE,48:1,accion,1
PLD,PLD,Prologis,NYSE,29:1,accion,1
LIN,LIN,Linde,NASDAQ,102:1,accion,1
SHW,SHW,Sherwin-Williams,NYSE,69:1,accion,1
NTRA,NTRA,Natera,NASDAQ,51:1,accion,1
